Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,Clustering Coefficient,componentnumber,strongcompnum,modularity_class
236782423,,0,1,1,1,1,1,0,0,0,0,1,0
127235782,,54,0,54,0,0,0,0,0.002096,0.002795,0,0,0
54234746,,0,1,1,1,1,1,0,0,0,0,2,0
712627536,,0,1,1,1,1,1,0,0,0,0,3,0
148121946,,0,1,1,1,1,1,0,0,0,0,4,0
285291900,,1,1,2,1,1,1,0,0.5,1,0,5,2
199740392,,0,1,1,1,1,1,0,0,0,0,6,0
588909606,,0,1,1,1,1,1,0,0,0,0,7,0
278874774,,1,2,3,1,1,1,0,0.5,1,0,8,1
28392641,,1,2,3,1,1,1,0,0.5,1,0,8,1
232596833,,0,1,1,1,1,1,0,0,0,0,9,0
241597374,,0,1,1,1,1,1,0,0,0,0,10,0
315706075,,0,1,1,1,1,1,0,0,0,0,11,0
216084323,,0,1,1,1,1,1,0,0,0,0,12,0
676708192,,0,1,1,1,1,1,0,0,0,0,13,0
237227712,,0,1,1,1,1,1,0,0,0,0,14,0
328494854,,0,1,1,1,1,1,0,0,0,0,15,0
310366452,,0,1,1,1,1,1,0,0,0,0,16,0
420183082,,0,3,3,1,1,1,0,0.333333,0.666667,0,18,2
60921051,,2,1,3,1,1,1,1,0.166667,0.333333,0,17,2
129995736,,0,1,1,1,1,1,0,0,0,0,19,0
294976845,,0,1,1,1,1,1,0,0,0,0,20,0
642276927,,0,1,1,1,1,1,0,0,0,0,21,0
52914690,,0,1,1,1,1,1,0,0,0,0,22,0
195383968,,0,1,1,1,1,1,0,0,0,0,23,0
57398691,,0,1,1,1,1,1,0,0,0,0,24,0
199763418,,0,1,1,1,1,1,0,0,0,0,25,0
289512822,,0,1,1,1,1,1,0,0,0,0,26,0
267247118,,0,1,1,1,1,1,0,0,0,0,27,0
229936872,,0,1,1,1,1,1,0,0,0,0,28,0
341828657,,0,1,1,1,1,1,0,0,0,0,29,0
148878627,,0,1,1,1,1,1,0,0,0,0,30,0
249777153,,1,2,3,1,1,1,0,0.5,1,0,31,3
248984129,,1,2,3,1,1,1,0,0.5,1,0,31,3
49321726,,0,1,1,1,1,1,0,0,0,0,32,0
288861145,,0,1,1,1,1,1,0,0,0,0,33,0
183159227,,0,1,1,1,1,1,0,0,0,0,34,0
514026650,,0,1,1,1,1,1,0,0,0,0,35,0
711444499,,0,1,1,1,1,1,0,0,0,0,36,0
240644786,,0,1,1,2,0.666667,0.75,0,0,0,0,37,2
312569972,,0,1,1,1,1,1,0,0,0,0,38,0
61569963,,0,1,1,1,1,1,0,0,0,0,39,0
142784333,,0,1,1,1,1,1,0,0,0,0,40,0
58307110,,0,1,1,1,1,1,0,0,0,0,41,0
668804176,,0,1,1,1,1,1,0,0,0,0,42,0
11319943,,0,1,1,1,1,1,0,0,0,0,43,0
132123622,,0,1,1,1,1,1,0,0,0,0,44,0
232663430,,0,1,1,1,1,1,0,0,0,0,45,0
711462735,,0,1,1,1,1,1,0,0,0,0,46,0
836614675,,0,1,1,1,1,1,0,0,0,0,47,0
385608640,,0,1,1,1,1,1,0,0,0,0,48,0
336597865,,0,1,1,1,1,1,0,0,0,0,49,0
287881733,,0,2,2,1,1,1,0,0,0,0,51,4
310361109,,1,0,1,0,0,0,0,0,0,0,50,4
107674219,,0,1,1,1,1,1,0,0,0,0,52,0
199724958,,0,1,1,1,1,1,0,0,0,0,53,0
171413647,,0,1,1,1,1,1,0,0,0,0,54,0
